primaryTitle,startYear,runtimeMinutes,genres
12.10,1919,50,"Crime,Mystery,Thriller"
33.333,1924,81,Drama
33.333,1936,85,Drama
491,1964,110,"Crime,Drama"
813,1920,60,Mystery
1812,1944,95,Drama
1905,1956,104,Drama
1984,1956,90,"Drama,Sci-Fi"
"500,000",1963,97,"Action,Adventure,Drama"
-30-,1959,96,Drama
-But the Flesh Is Weak,1932,77,Comedy
¡¡Arriba las mujeres!!,1965,105,Comedy
¡¡Campeones!!,1943,87,Comedy
¡¡Se armó el belén!!,1970,97,Comedy
¡¡Todo es posible en Granada!!,1954,90,"Comedy,Fantasy"
¡¿Qué te ha dado esa mujer?!,1951,100,"Comedy,Drama,Musical"
¡A mí la legión!,1942,82,Drama
¡A mí no me mire usted!,1941,83,Comedy
¡Ahí va otro recluta!,1960,77,Comedy
¡Al diablo con este cura!,1967,96,Comedy
¡Aquí hay petróleo!,1956,85,Comedy
¡Arriba las mujeres!,1943,82,"Comedy,Drama"
¡Ay amor... cómo me has puesto!,1951,85,"Comedy,Drama,Romance"
"¡Buenas noches, año nuevo!",1964,112,"Comedy,Drama,Romance"
"¡Centinela, alerta!",1937,80,Musical
"¡Che, qué loco!",1953,85,Comedy
¡Cómo está el servicio!,1968,92,Comedy
¡Cómo sois las mujeres!,1968,88,Comedy
¡Cuba Sí!,1961,53,Documentary
¡Culpable!,1945,72,\N
¡El santuario no se rinde!,1949,97,"Drama,War"
¡Esto es alegría!,1967,101,"Comedy,Musical"
¡Fuego!,1949,85,Drama
¡Harka!,1941,68,"Drama,War"
¡Olé torero!,1949,110,\N
¡Paso a la juventud..!,1958,90,"Comedy,Musical"
¡Polizón a bordo!,1941,76,Comedy
¡Que bravas son las costeñas!...,1955,90,"Comedy,Musical,Romance"
¡Qué contenta estoy!,1942,84,\N
¡Qué cosas tiene el amor!,1973,100,"Comedy,Musical"
¡Qué familia!,1944,86,\N
¡Qué hacer!,1972,90,Drama
¡Que viene mi marido!,1940,91,Comedy
¡Que viva Mexico!,1932,88,History
¡Tango!,1933,80,"Musical,Romance"
¡Viva América!,1969,105,"Crime,Drama"
¡Viva Benito Canales!,1966,95,"Action,Adventure,Drama"
¡Viva lo imposible!,1958,95,Comedy
¡Viva mi desgracia!,1944,95,Comedy
¡Vuelven los García!,1947,113,"Comedy,Romance"
¿Adónde van nuestros hijos?,1958,94,Drama
¿Chico o chica?,1962,91,"Comedy,Musical"
¿Crimen imposible?,1954,98,Crime
¿Cuándo te suicidas?,1932,81,Comedy
¿Dónde pongo este muerto?,1962,83,Comedy
"¿Dónde vas, Alfonso XII?",1959,110,Drama
¿Es usted mi padre?,1971,86,Drama
¿Milagro en la ciudad?,1957,83,Drama
¿Pena de muerte?,1961,81,Crime
¿Por qué te engaña tu marido?,1969,93,Comedy
¿Por qué vivir tristes?,1942,85,\N
¿Qué hacemos con los hijos?,1967,95,Comedy
¿Quién me compra un lío?,1940,68,\N
¿Quién me quiere a mí?,1936,84,Drama
¿Quién soy yo?,1970,80,Comedy
¿Sueño o realidad?,1919,243,\N
...And God Created Woman,1956,95,"Drama,Romance"
...And Suddenly It's Murder!,1960,106,"Comedy,Crime"
